;CD_Concurso;id_cargo;Nivel;Region;Estado;SubEstado;Ministerio;Servicio;Fecha_Convocatoria;Fecha_Nomina;Fecha_Desierto;Year_Convocatoria;Year_Nomina;Year_Desierto;Desierto;Nomina;DesignacionDirecta;Duracion_Concurso;Fecha_Cierre_Concurso;Year_Cierre_Concurso;Cerrado;Fecha_Nombramiento;Year_Nombramiento;Periodo;Fecha_Renovacion;Costo_Concurso;FechaActualizacion
0;1;I 12;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Hacienda;Unidad de Análisis Financiero;2004-03-01;2004-04-01;;2004.0;2004.0;;0;1;0;31.0;2004-04-01;2004.0;1;2004-04-16;2004.0;1;2007-04-16;;2023-11-27 12:14:43.307
1;10;I 25;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;2005-05-17;2005-09-16;;2005.0;2005.0;;0;1;0;122.0;2005-09-16;2005.0;1;2005-11-10;2005.0;1;2008-11-09;;2023-11-27 12:14:43.307
2;100;II 156;II;Región de Magallanes y de la Antártica Chilena;Nombrado;Desvinculado;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;2005-06-05;2005-08-29;;2005.0;2005.0;;0;1;0;85.0;2005-08-29;2005.0;1;2005-10-31;2005.0;2;2011-10-30;;2023-11-27 12:14:43.307
3;1000;II 729;II;Región del Libertador General Bernardo OHiggins;Desierto;Desierto en Admisibilidad;Ministerio de Salud;Servicio de Salud O'Higgins;2011-07-10;;;2011.0;;;1;0;0;;2011-08-24;2011.0;1;;;0;;;2023-11-27 12:14:43.307
4;1001;II 492;II;Región del Libertador General Bernardo OHiggins;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud O'Higgins;2010-05-09;2010-08-23;2010-11-29;2010.0;2010.0;2010.0;1;1;0;99.0;2010-08-23;2010.0;1;;;0;;;2023-11-27 12:14:43.307
5;1002;I 44;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;2009-11-15;2010-01-26;;2009.0;2010.0;;0;1;0;72.0;2010-01-26;2010.0;1;2010-02-24;2010.0;1;2013-02-23;;2023-11-27 12:14:43.307
6;1003;II 58;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;2009-11-22;;;2009.0;;;1;0;0;;2010-03-05;2010.0;1;;;0;;;2023-11-27 12:14:43.307
7;1004;II 741;II;Región del Maule;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud Maule;2009-11-08;;;2009.0;;;1;0;0;;2010-02-01;2010.0;1;;;0;;;2023-11-27 12:14:43.307
8;1005;II 45;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;2009-11-22;2010-03-01;;2009.0;2010.0;;0;1;0;71.0;2010-03-01;2010.0;1;2010-03-16;2010.0;1;2013-03-15;;2023-11-27 12:14:43.307
9;1006;II 720;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;2011-08-07;2011-10-20;;2011.0;2011.0;;0;1;0;67.0;2011-10-20;2011.0;1;2011-11-09;2011.0;1;2014-11-08;;2023-11-27 12:14:43.307
10;1007;II 731;II;Región de Magallanes y de la Antártica Chilena;Desierto;Desierto en analisis curricular;Ministerio de Salud;Servicio de Salud Magallanes;2009-11-22;;;2009.0;;;1;0;0;;2009-12-31;2009.0;1;;;0;;;2023-11-27 12:14:43.307
11;1008;II 516;II;Región del Biobío;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Concepción;2011-10-16;2012-02-10;;2011.0;2012.0;;0;1;0;100.0;2012-02-10;2012.0;1;2012-02-17;2012.0;1;2015-02-16;;2023-11-27 12:14:43.307
12;1009;II 560;II;Región de Los Ríos;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Valdivia;2011-05-22;2011-07-28;;2011.0;2011.0;;0;1;0;67.0;2011-07-28;2011.0;1;2011-08-08;2011.0;1;2014-08-07;;2023-11-27 12:14:43.307
13;101;II 413;II;Región de  Valparaíso;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2005-07-03;2006-05-10;2006-11-02;2005.0;2006.0;2006.0;1;1;0;283.0;2006-05-10;2006.0;1;;;0;;;2023-11-27 12:14:43.307
14;1010;II 573;II;Región de Los Lagos;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud del Reloncaví;2011-12-11;;;2011.0;;;1;0;0;;2012-02-07;2012.0;1;;;0;;;2023-11-27 12:14:43.307
15;1011;II 722;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;2011-05-15;2011-07-15;;2011.0;2011.0;;0;1;0;54.0;2011-07-15;2011.0;1;2011-08-09;2011.0;1;2014-08-08;;2023-11-27 12:14:43.307
16;1012;II 524;II;Región del Biobío;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Talcahuano;2009-12-20;2010-02-08;;2009.0;2010.0;;0;1;0;42.0;2010-02-08;2010.0;1;2010-02-11;2010.0;1;2013-02-10;;2023-11-27 12:14:43.307
17;1013;II 403;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2011-03-20;2011-05-12;;2011.0;2011.0;;0;1;0;46.0;2011-05-12;2011.0;1;2011-05-26;2011.0;2;2017-05-24;;2023-11-27 12:14:43.307
18;1014;II 404;II;Región de  Valparaíso;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2011-05-08;2011-07-11;2011-07-27;2011.0;2011.0;2011.0;1;1;0;57.0;2011-07-11;2011.0;1;;;0;;;2023-11-27 12:14:43.307
19;1015;I 32;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;2010-05-30;2010-09-07;;2010.0;2010.0;;0;1;0;100.0;2010-09-07;2010.0;1;2010-09-21;2010.0;1;2013-09-20;;2023-11-27 12:14:43.307
20;1016;II 363;II;Región de Arica y Parinacota;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Arica;2010-09-26;2010-12-16;;2010.0;2010.0;;0;1;0;81.0;2010-12-16;2010.0;1;2010-12-22;2010.0;1;2013-12-21;;2023-11-27 12:14:43.307
21;1017;II 631;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2009-11-29;2010-03-29;;2009.0;2010.0;;0;1;0;85.0;2010-03-29;2010.0;1;2010-04-13;2010.0;2;2016-04-11;;2023-11-27 12:14:43.307
22;1018;II 396;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Aconcagua;2010-10-03;2010-12-09;;2010.0;2010.0;;0;1;0;60.0;2010-12-09;2010.0;1;2011-01-18;2011.0;1;2014-01-17;;2023-11-27 12:14:43.307
23;1019;II 688;II;Región de la Araucanía;Nombrado;Desvinculado;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;2010-07-25;2010-11-30;;2010.0;2010.0;;0;1;0;128.0;2010-11-30;2010.0;1;2010-12-14;2010.0;2;2016-12-12;;2023-11-27 12:14:43.307
24;102;II 414;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2005-07-03;2005-11-10;;2005.0;2005.0;;0;1;0;130.0;2005-11-10;2005.0;1;2005-12-16;2005.0;1;2008-12-15;;2023-11-27 12:14:43.307
25;1020;II 309;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Superintendencia de  Pensiones;2010-04-11;2010-06-24;2010-08-05;2010.0;2010.0;2010.0;1;1;0;74.0;2010-06-24;2010.0;1;;;0;;;2023-11-27 12:14:43.307
26;1021;II 313;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio del Trabajo y Previsión Social;Superintendencia de  Pensiones;2010-04-11;2010-07-05;;2010.0;2010.0;;0;1;0;85.0;2010-07-05;2010.0;1;2010-08-02;2010.0;2;2016-07-31;;2023-11-27 12:14:43.307
27;1022;II 528;II;Región del Biobío;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud Biobío;2010-10-03;;;2010.0;;;1;0;0;;2010-12-22;2010.0;1;;;0;;;2023-11-27 12:14:43.307
